Institution,CIPCODE,CIPCODE_LABEL,ConferralYear,AwardLevel,Completions,Target Program
Arizona State University Digital Immersion,14.1001,Electrical and Electronics Engineering.,2020,Master's degree,24,X
Arizona State University Digital Immersion,13.1001,"Special Education and Teaching, General.",2020,Master's degree,441,X
Arizona State University Digital Immersion,13.0501,Educational/Instructional Technology.,2020,Master's degree,76,X
Arizona State University Digital Immersion,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,60,X
Arizona State University Digital Immersion,13.0301,Curriculum and Instruction.,2020,Master's degree,849,X
Arizona State University Digital Immersion,11.0701,Computer Science.,2020,Master's degree,16,X
Arizona State University Digital Immersion,9.0702,Digital Communication and Media/Multimedia.,2020,Master's degree,52,X
Arkansas State University,52.0201,"Business Administration and Management, General.",2020,Master's degree,83,X
Arkansas State University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,71,X
Arkansas State University,44.0401,Public Administration.,2020,Master's degree,115,X
Arkansas State University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,162,X
Arkansas State University,13.1315,Reading Teacher Education.,2020,Master's degree,187,X
Arkansas State University,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,0,X
Arkansas State University,13.0301,Curriculum and Instruction.,2020,Master's degree,157,X
Arkansas State University,9.0702,Digital Communication and Media/Multimedia.,2020,Master's degree,21,X
Arkansas Tech University,52.0201,"Business Administration and Management, General.",2020,Master's degree,26,X
Arkansas Tech University,51.3802,Nursing Administration.,2020,Master's degree,4,X
Arkansas Tech University,13.1315,Reading Teacher Education.,2020,Master's degree,4,X
Arkansas Tech University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,18,X
Arkansas Tech University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,14,X
Asbury University,52.0201,"Business Administration and Management, General.",2020,Master's degree,11,X
Asbury University,13.1315,Reading Teacher Education.,2020,Master's degree,3,X
Asbury University,13.1202,Elementary Education and Teaching.,2020,Master's degree,0,X
Asbury University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,6,X
Asbury University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,18,X
Ashland University,13.0501,Educational/Instructional Technology.,2020,Master's degree,0,X
Ashland University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,80,X
Ashland University,13.0301,Curriculum and Instruction.,2020,Master's degree,55,X
Assumption University,52.0201,"Business Administration and Management, General.",2020,Master's degree,76,X
Assumption University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,4,X
Athens State University,52.0203,"Logistics, Materials, and Supply Chain Management.",2020,Master's degree,12,X
Auburn University,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,1,X
Auburn University,13.0501,Educational/Instructional Technology.,2020,Master's degree,4,X
Auburn University,13.1205,Secondary Education and Teaching.,2020,Master's degree,26,X
Auburn University,14.0801,"Civil Engineering, General.",2020,Master's degree,27,X
Auburn University,14.1001,Electrical and Electronics Engineering.,2020,Master's degree,17,X
Auburn University,14.1901,Mechanical Engineering.,2020,Master's degree,39,X
Auburn University,42.2804,Industrial and Organizational Psychology.,2020,Master's degree,7,X
Auburn University,52.0201,"Business Administration and Management, General.",2020,Master's degree,203,X
Auburn University,52.0301,Accounting.,2020,Master's degree,85,X
Auburn University at Montgomery,13.0501,Educational/Instructional Technology.,2020,Master's degree,4,X
Auburn University at Montgomery,13.1202,Elementary Education and Teaching.,2020,Master's degree,19,X
Auburn University at Montgomery,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,0,X
Auburn University at Montgomery,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,0,X
Auburn University at Montgomery,52.0101,"Business/Commerce, General.",2020,Master's degree,20,X
Augusta University,51.2201,"Public Health, General.",2020,Master's degree,20,X
Augustana University,13.0101,"Education, General.",2020,Master's degree,128,X
Aurora University,13.1205,Secondary Education and Teaching.,2020,Master's degree,18,X
Austin Peay State University,52.0201,"Business Administration and Management, General.",2020,Master's degree,32,X
Averett University,52.1301,Management Science.,2020,Master's degree,0,X
Averett University,52.0301,Accounting.,2020,Master's degree,1,X
Averett University,52.0213,Organizational Leadership.,2020,Master's degree,27,X
Averett University,52.0201,"Business Administration and Management, General.",2020,Master's degree,30,X
Averett University,30.7102,Business Analytics.,2020,Master's degree,2,X
Averett University,13.1315,Reading Teacher Education.,2020,Master's degree,14,X
Averett University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,11,X
Averett University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,25,X
Averett University,13.0301,Curriculum and Instruction.,2020,Master's degree,22,X
Azusa Pacific University,52.0201,"Business Administration and Management, General.",2020,Master's degree,41,X
Azusa Pacific University,52.0101,"Business/Commerce, General.",2020,Master's degree,70,X
Baker College,52.0301,Accounting.,2020,Master's degree,4,X
Baker College,52.0201,"Business Administration and Management, General.",2020,Master's degree,30,X
Baker College,51.3203,Nursing Education.,2020,Master's degree,3,X
Baker College,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,19,X
Baker College,42.2804,Industrial and Organizational Psychology.,2020,Master's degree,8,X
Baker College,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,4,X
Baker College,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,3,X
Baker University,52.0213,Organizational Leadership.,2020,Master's degree,27,X
Baker University,52.0201,"Business Administration and Management, General.",2020,Master's degree,124,X
Baker University,51.3802,Nursing Administration.,2020,Master's degree,1,X
Baker University,51.3203,Nursing Education.,2020,Master's degree,4,X
Baker University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,13,X
Baker University,13.1205,Secondary Education and Teaching.,2020,Master's degree,1,X
Baker University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,26,X
Baker University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,73,X
Baker University,13.0101,"Education, General.",2020,Master's degree,70,X
Bakke Graduate University,52.0201,"Business Administration and Management, General.",2020,Master's degree,1,X
Baldwin Wallace University,52.1301,Management Science.,2020,Master's degree,21,X
Baldwin Wallace University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,0,X
Baldwin Wallace University,13.1315,Reading Teacher Education.,2020,Master's degree,11,X
Baldwin Wallace University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,9,X
Baldwin Wallace University,13.0101,"Education, General.",2020,Master's degree,9,X
Ball State University,52.0101,"Business/Commerce, General.",2020,Master's degree,86,X
Ball State University,13.1205,Secondary Education and Teaching.,2020,Master's degree,9,X
Ball State University,13.1202,Elementary Education and Teaching.,2020,Master's degree,96,X
Ball State University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,165,X
Ball State University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,103,X
Ball State University,13.0301,Curriculum and Instruction.,2020,Master's degree,17,X
Ball State University,11.0401,Information Science/Studies.,2020,Master's degree,37,X
Baptist University of Florida,42.0101,"Psychology, General.",2020,Master's degree,0,X
Bay Path University,52.1302,Business Statistics.,2020,Master's degree,8,X
Bay Path University,52.0301,Accounting.,2020,Master's degree,17,X
Bay Path University,52.0201,"Business Administration and Management, General.",2020,Master's degree,42,X
Bay Path University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,21,X
Belhaven University,52.0213,Organizational Leadership.,2020,Master's degree,7,X
Belhaven University,52.0201,"Business Administration and Management, General.",2020,Master's degree,509,X
Belhaven University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,47,X
Belhaven University,44.0401,Public Administration.,2020,Master's degree,47,X
Belhaven University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,25,X
Belhaven University,13.1315,Reading Teacher Education.,2020,Master's degree,18,X
Belhaven University,13.1205,Secondary Education and Teaching.,2020,Master's degree,0,X
Belhaven University,13.1202,Elementary Education and Teaching.,2020,Master's degree,0,X
Belhaven University,13.0501,Educational/Instructional Technology.,2020,Master's degree,0,X
Belhaven University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,21,X
Belhaven University,13.0101,"Education, General.",2020,Master's degree,79,X
Bellarmine University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,34,X
Bellarmine University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,1,X
Bellevue University,52.1301,Management Science.,2020,Master's degree,50,X
Bellevue University,52.0801,"Finance, General.",2020,Master's degree,9,X
Bellevue University,52.0301,Accounting.,2020,Master's degree,11,X
Bellevue University,52.0201,"Business Administration and Management, General.",2020,Master's degree,267,X
Bellevue University,52.0101,"Business/Commerce, General.",2020,Master's degree,6,X
Bellevue University,51.1508,Mental Health Counseling/Counselor.,2020,Master's degree,3,X
Bellevue University,44.0401,Public Administration.,2020,Master's degree,23,X
Bellevue University,42.2804,Industrial and Organizational Psychology.,2020,Master's degree,16,X
Bellevue University,13.0501,Educational/Instructional Technology.,2020,Master's degree,5,X
Bellevue University,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,85,X
Bellevue University,11.0401,Information Science/Studies.,2020,Master's degree,58,X
Bellevue University,11.0101,"Computer and Information Sciences, General.",2020,Master's degree,41,X
Bellin College,51.3203,Nursing Education.,2020,Master's degree,0,X
Bemidji State University,52.0201,"Business Administration and Management, General.",2020,Master's degree,14,X
Bemidji State University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,28,X
Bemidji State University,13.0301,Curriculum and Instruction.,2020,Master's degree,0,X
Bemidji State University,13.0101,"Education, General.",2020,Master's degree,11,X
Benedictine College,52.0201,"Business Administration and Management, General.",2020,Master's degree,23,X
Bethel University,52.0101,"Business/Commerce, General.",2020,Master's degree,119,X
Bethel University,13.0101,"Education, General.",2020,Master's degree,26,X
Bethel University,52.0213,Organizational Leadership.,2020,Master's degree,2,X
Bethel University,52.0201,"Business Administration and Management, General.",2020,Master's degree,47,X
Bethel University,51.3802,Nursing Administration.,2020,Master's degree,14,X
Bethel University,52.0201,"Business Administration and Management, General.",2020,Master's degree,35,X
Bethel University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,6,X
Bethesda University,52.0201,"Business Administration and Management, General.",2020,Master's degree,21,X
Beulah Heights University,52.0213,Organizational Leadership.,2020,Master's degree,2,X
Beulah Heights University,52.0201,"Business Administration and Management, General.",2020,Master's degree,11,X
Biola University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,4,X
Biola University,13.0101,"Education, General.",2020,Master's degree,35,X
Black Hills State University,13.1315,Reading Teacher Education.,2020,Master's degree,9,X
Black Hills State University,13.1205,Secondary Education and Teaching.,2020,Master's degree,21,X
Black Hills State University,13.0301,Curriculum and Instruction.,2020,Master's degree,12,X
Blessing Rieman College of Nursing and Health Sciences,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,8,X
Blue Mountain Christian University,52.0201,"Business Administration and Management, General.",2020,Master's degree,0,X
Blue Mountain Christian University,13.1315,Reading Teacher Education.,2020,Master's degree,4,X
Blue Mountain Christian University,13.1202,Elementary Education and Teaching.,2020,Master's degree,2,X
Bluefield University,52.0213,Organizational Leadership.,2020,Master's degree,4,X
Bluefield University,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,10,X
Bluefield University,13.0301,Curriculum and Instruction.,2020,Master's degree,5,X
Bluffton University,52.0201,"Business Administration and Management, General.",2020,Master's degree,9,X
Bluffton University,13.0101,"Education, General.",2020,Master's degree,9,X
Bob Jones University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,13,X
Boise State University,13.1315,Reading Teacher Education.,2020,Master's degree,4,X
Boise State University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,28,X
Boise State University,13.0501,Educational/Instructional Technology.,2020,Master's degree,155,X
Bradley University,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,96,X
Bradley University,51.3802,Nursing Administration.,2020,Master's degree,9,X
Brandeis University,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,5,X
Brenau University,52.0801,"Finance, General.",2020,Master's degree,3,X
Brenau University,52.0301,Accounting.,2020,Master's degree,11,X
Brenau University,13.1205,Secondary Education and Teaching.,2020,Master's degree,3,X
Brenau University,13.1202,Elementary Education and Teaching.,2020,Master's degree,19,X
Brescia University,52.0201,"Business Administration and Management, General.",2020,Master's degree,7,X
Brescia University,44.0701,Social Work.,2020,Master's degree,30,X
Brescia University,42.0101,"Psychology, General.",2020,Master's degree,0,X
Briar Cliff University,52.0201,"Business Administration and Management, General.",2020,Master's degree,23,X
Briar Cliff University,51.3203,Nursing Education.,2020,Master's degree,0,X
Briar Cliff University,13.0101,"Education, General.",2020,Master's degree,0,X
Bridgewater State University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,11,X
Bryan College-Dayton,52.0213,Organizational Leadership.,2020,Master's degree,0,X
Bryan College-Dayton,52.0201,"Business Administration and Management, General.",2020,Master's degree,67,X
Bryan College-Dayton,13.0101,"Education, General.",2020,Master's degree,23,X
Bryant University,52.0213,Organizational Leadership.,2020,Master's degree,20,X
Bryn Athyn College of the New Church,13.1001,"Special Education and Teaching, General.",2020,Master's degree,0,X
Buena Vista University,52.0213,Organizational Leadership.,2020,Master's degree,28,X
Buena Vista University,13.0301,Curriculum and Instruction.,2020,Master's degree,13,X
Bushnell University,52.0213,Organizational Leadership.,2020,Master's degree,4,X
Bushnell University,52.0201,"Business Administration and Management, General.",2020,Master's degree,1,X
Bushnell University,52.0101,"Business/Commerce, General.",2020,Master's degree,0,X
Bushnell University,51.3802,Nursing Administration.,2020,Master's degree,0,X
Bushnell University,13.0501,Educational/Instructional Technology.,2020,Master's degree,0,X
Bushnell University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,3,X
Butler University,52.1301,Management Science.,2020,Master's degree,0,X
Cabarrus College of Health Sciences,51.3802,Nursing Administration.,2020,Master's degree,0,X
Cabrini University,52.0301,Accounting.,2020,Master's degree,6,X
Cairn University-Langhorne,52.0213,Organizational Leadership.,2020,Master's degree,4,X
Cairn University-Langhorne,52.0201,"Business Administration and Management, General.",2020,Master's degree,35,X
Cairn University-Langhorne,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,0,X
Cairn University-Langhorne,13.1001,"Special Education and Teaching, General.",2020,Master's degree,2,X
Cairn University-Langhorne,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,13,X
California Baptist University,52.0301,Accounting.,2020,Master's degree,10,X
California Baptist University,44.0401,Public Administration.,2020,Master's degree,30,X
California State University-Chico,52.0201,"Business Administration and Management, General.",2020,Master's degree,22,X
California State University-Chico,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,4,X
California State University-East Bay,13.0501,Educational/Instructional Technology.,2020,Master's degree,32,X
California State University-Fresno,13.1315,Reading Teacher Education.,2020,Master's degree,9,X
California State University-Long Beach,52.0201,"Business Administration and Management, General.",2020,Master's degree,107,X
California State University-Monterey Bay,52.0201,"Business Administration and Management, General.",2020,Master's degree,97,X
California State University-Sacramento,52.0301,Accounting.,2020,Master's degree,0,X
California State University-San Marcos,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,19,X
California State University-San Marcos,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,6,X
Calvary University,52.0213,Organizational Leadership.,2020,Master's degree,1,X
Calvary University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,4,X
Cambridge College,52.0201,"Business Administration and Management, General.",2020,Master's degree,118,X
Cambridge College,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,5,X
Cameron University,52.0101,"Business/Commerce, General.",2020,Master's degree,20,X
Cameron University,42.2803,Counseling Psychology.,2020,Master's degree,28,X
Cameron University,13.1315,Reading Teacher Education.,2020,Master's degree,4,X
Campbell University,52.0201,"Business Administration and Management, General.",2020,Master's degree,55,X
Campbell University,13.1202,Elementary Education and Teaching.,2020,Master's degree,2,X
Campbellsville University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,0,X
Canisius University,13.0501,Educational/Instructional Technology.,2020,Master's degree,4,X
Capitol Technology University,52.1302,Business Statistics.,2020,Master's degree,1,X
Capitol Technology University,52.0201,"Business Administration and Management, General.",2020,Master's degree,3,X
Capitol Technology University,14.1001,Electrical and Electronics Engineering.,2020,Master's degree,1,X
Capitol Technology University,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,24,X
Capitol Technology University,11.0401,Information Science/Studies.,2020,Master's degree,2,X
Capitol Technology University,11.0101,"Computer and Information Sciences, General.",2020,Master's degree,7,X
Cardinal Stritch University,52.0213,Organizational Leadership.,2020,Master's degree,1,X
Cardinal Stritch University,52.0201,"Business Administration and Management, General.",2020,Master's degree,105,X
Cardinal Stritch University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,54,X
Carlow University,52.0201,"Business Administration and Management, General.",2020,Master's degree,46,X
Carlow University,51.3203,Nursing Education.,2020,Master's degree,22,X
Carolina University,52.1301,Management Science.,2020,Master's degree,0,X
Carolina University,52.0213,Organizational Leadership.,2020,Master's degree,3,X
Carolina University,51.2201,"Public Health, General.",2020,Master's degree,0,X
Carolina University,13.0101,"Education, General.",2020,Master's degree,2,X
Carson-Newman University,52.0201,"Business Administration and Management, General.",2020,Master's degree,75,X
Carson-Newman University,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,15,X
Carson-Newman University,13.1315,Reading Teacher Education.,2020,Master's degree,22,X
Carson-Newman University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,38,X
Catawba College,52.0201,"Business Administration and Management, General.",2020,Master's degree,0,X
Catawba College,51.1508,Mental Health Counseling/Counselor.,2020,Master's degree,0,X
Cedar Crest College,52.0201,"Business Administration and Management, General.",2020,Master's degree,17,X
Cedar Crest College,51.3802,Nursing Administration.,2020,Master's degree,8,X
Cedarville University,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,39,X
Cedarville University,51.3203,Nursing Education.,2020,Master's degree,2,X
Cedarville University,13.0101,"Education, General.",2020,Master's degree,5,X
Centenary University,52.0201,"Business Administration and Management, General.",2020,Master's degree,0,X
Centenary University,44.0401,Public Administration.,2020,Master's degree,6,X
Central Connecticut State University,52.1301,Management Science.,2020,Master's degree,3,X
Central Methodist University-College of Graduate and Extended Studies,51.3203,Nursing Education.,2020,Master's degree,14,X
Central Washington University,51.2201,"Public Health, General.",2020,Master's degree,0,X
Central Washington University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,2,X
Central Washington University,13.1315,Reading Teacher Education.,2020,Master's degree,4,X
Central Washington University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,0,X
Central Washington University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,10,X
Central Washington University,13.0101,"Education, General.",2020,Master's degree,8,X
Central Washington University,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,10,X
Central Washington University,11.0103,Information Technology.,2020,Master's degree,20,X
Chadron State College,52.0201,"Business Administration and Management, General.",2020,Master's degree,46,X
Chadron State College,42.2803,Counseling Psychology.,2020,Master's degree,8,X
Chadron State College,13.1202,Elementary Education and Teaching.,2020,Master's degree,0,X
Chadron State College,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,26,X
Chadron State College,13.0301,Curriculum and Instruction.,2020,Master's degree,36,X
Chaminade University of Honolulu,52.0201,"Business Administration and Management, General.",2020,Master's degree,30,X
Chaminade University of Honolulu,13.1205,Secondary Education and Teaching.,2020,Master's degree,8,X
Chaminade University of Honolulu,13.1202,Elementary Education and Teaching.,2020,Master's degree,20,X
Chaminade University of Honolulu,13.1001,"Special Education and Teaching, General.",2020,Master's degree,5,X
Champlain College,52.0301,Accounting.,2020,Master's degree,11,X
Champlain College,52.0213,Organizational Leadership.,2020,Master's degree,31,X
Champlain College,52.0201,"Business Administration and Management, General.",2020,Master's degree,133,X
Champlain College,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,31,X
Champlain College,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,29,X
Charleston Southern University,52.0213,Organizational Leadership.,2020,Master's degree,16,X
Charleston Southern University,52.0203,"Logistics, Materials, and Supply Chain Management.",2020,Master's degree,5,X
Charleston Southern University,52.0201,"Business Administration and Management, General.",2020,Master's degree,36,X
Charleston Southern University,51.3203,Nursing Education.,2020,Master's degree,3,X
Charleston Southern University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,7,X
Charleston Southern University,11.0101,"Computer and Information Sciences, General.",2020,Master's degree,0,X
Charter Oak State College,52.0213,Organizational Leadership.,2020,Master's degree,17,X
Chatham University,52.0201,"Business Administration and Management, General.",2020,Master's degree,23,X
Chatham University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,11,X
City University of Seattle,52.0301,Accounting.,2020,Master's degree,0,X
City University of Seattle,52.0213,Organizational Leadership.,2020,Master's degree,12,X
City University of Seattle,52.0203,"Logistics, Materials, and Supply Chain Management.",2020,Master's degree,1,X
City University of Seattle,52.0201,"Business Administration and Management, General.",2020,Master's degree,130,X
City University of Seattle,13.1315,Reading Teacher Education.,2020,Master's degree,0,X
City University of Seattle,13.1202,Elementary Education and Teaching.,2020,Master's degree,18,X
City University of Seattle,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,0,X
City University of Seattle,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,0,X
City University of Seattle,13.0301,Curriculum and Instruction.,2020,Master's degree,98,X
City University of Seattle,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.,2020,Master's degree,6,X
City University of Seattle,11.0701,Computer Science.,2020,Master's degree,25,X
City Vision University,52.0201,"Business Administration and Management, General.",2020,Master's degree,3,X
Claremont Lincoln University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,0,X
Clarke University,13.0101,"Education, General.",2020,Master's degree,19,X
Clarkson College,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,85,X
Clarkson College,51.3802,Nursing Administration.,2020,Master's degree,11,X
Clarkson College,51.3203,Nursing Education.,2020,Master's degree,8,X
Clarkson College,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,12,X
Clayton  State University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,14,X
Cleary University,52.1302,Business Statistics.,2020,Master's degree,22,X
Cleary University,52.0213,Organizational Leadership.,2020,Master's degree,23,X
Cleary University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,12,X
Clemson University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,38,X
Cleveland State University,51.3802,Nursing Administration.,2020,Master's degree,34,X
Cleveland State University,13.0501,Educational/Instructional Technology.,2020,Master's degree,14,X
Cleveland State University,13.0301,Curriculum and Instruction.,2020,Master's degree,6,X
Coastal Carolina University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,11,X
